Team,Position,Games Played,Wins,Draws,Losses,Goals Scored,Goals Against,Wins - Home,Draws - Home,Losses - Home,Goals Scored - Home,Goals Against - Home,Wins - Away,Draws - Away,Losses - Away,Goals Scored - Away,Goals Against - Away,Goal Differnce,Points
Manchester United,1,38,25,8,5,74,34,16,2,1,42,12,9,6,4,32,22,40,83
Arsenal,2,38,23,9,6,85,42,15,2,2,47,20,8,7,4,38,22,43,78
Newcastle United,3,38,21,6,11,63,48,15,2,2,36,17,6,4,9,27,31,15,69
Chelsea,4,38,19,10,9,68,38,12,5,2,41,15,7,5,7,27,23,30,67
Liverpool,5,38,18,10,10,61,41,9,8,2,30,16,9,2,8,31,25,20,64
Blackburn Rovers,6,38,16,12,10,52,43,9,7,3,24,15,7,5,7,28,28,9,60
Everton,7,38,17,8,13,48,49,11,5,3,28,19,6,3,10,20,30,-1,59
Southampton,8,38,13,13,12,43,46,9,8,2,25,16,4,5,10,18,30,-3,52
Manchester City,9,38,15,6,17,47,54,9,2,8,28,26,6,4,9,19,28,-7,51
Tottenham Hotspur,10,38,14,8,16,51,62,9,4,6,30,29,5,4,10,21,33,-11,50
Middlesbrough,11,38,13,10,15,48,44,10,7,2,36,21,3,3,13,12,23,4,49
Charlton Athletic,12,38,14,7,17,45,56,8,3,8,26,30,6,4,9,19,26,-11,49
Birmingham City,13,38,13,9,16,41,49,8,5,6,25,23,5,4,10,16,26,-8,48
Fulham,14,38,13,9,16,41,50,11,3,5,26,18,2,6,11,15,32,-9,48
Leeds United,15,38,14,5,19,58,57,7,3,9,25,26,7,2,10,33,31,1,47
Aston Villa,16,38,12,9,17,42,47,11,2,6,25,14,1,7,11,17,33,-5,45
Bolton Wanderers,17,38,10,14,14,41,51,7,8,4,27,24,3,6,10,14,27,-10,44
West Ham United,18,38,10,12,16,42,59,5,7,7,21,24,5,5,9,21,35,-17,42
West Bromwich Albion,19,38,6,8,24,29,65,3,5,11,17,34,3,3,13,12,31,-36,26
Sunderland,20,38,4,7,27,21,65,3,2,14,11,31,1,5,13,10,34,-44,19
